state,county,no_of_kg_student,vax-rate
Ohio,Jefferson,763,0.97
Pennsylvania,Columbia,730,0.97
Florida,Walton,729,0.97
MINNESOTA,RICE,692,0.97
Tennessee,Greene,655,0.97
Tennessee,Coffee,639,0.97
Kentucky,Henderson,627,0.97
Kentucky,Hopkins,604,0.97
Tennessee,Hawkins,584,0.97
MINNESOTA,STEELE,569,0.97
Virginia,Henry,567,0.97
Nebraska,South Heartland District,564,0.97
Vermont,Franklin,562,0.97
IOWA,Muscatine ,540,0.97
Florida,Okeechobee,530,0.97
Florida,Suwannee,529,0.97
Virginia,Campbell,516,0.97
Tennessee,Warren,482,0.97
Ohio,Ashland,471,0.97
Nebraska,Northeast Nebraska,462,0.97
Ohio,Henry,462,0.97
Ohio,Perry,436,0.97
Pennsylvania,Huntingdon,435,0.97
Virginia,Accomack,423,0.97
Arkansas,Johnson,422,0.97
Kentucky,Calloway,415,0.97
Arkansas,Baxter,413,0.97
Tennessee,Campbell,399,0.97
Tennessee,Henry,387,0.97
Tennessee,Lincoln,386,0.97
Arkansas,Grant,374,0.97
Arkansas,Yell,362,0.97
IOWA,Plymouth ,358,0.97
Tennessee,Weakley,354,0.97
MINNESOTA,BROWN,353,0.97
Tennessee,Franklin,348,0.97
Virginia,Hopewell city,343,0.97
North Dakota,Rolette,342,0.97
Tennessee,Marshall,342,0.97
Virginia,Danville city,342,0.97
Tennessee,Scott,334,0.97
Nebraska,Dakota County,321,0.97
Arkansas,Carroll,318,0.97
Arkansas,Sevier,318,0.97
Idaho,Lewiston,316,0.97
MINNESOTA,NOBLES,315,0.97
California,GLENN,312,0.97
Virginia,Carroll,297,0.97
Kentucky,Letcher,296,0.97
IOWA,O'Brien ,282,0.97
MINNESOTA,DODGE,282,0.97
Arkansas,Conway,279,0.97
Arkansas,Cleburne,274,0.97
Ohio,Meigs,274,0.97
Virginia,Dinwiddie,269,0.97
Florida,Madison,249,0.97
South Dakota,Meade,246,0.97
California,INYO,243,0.97
Virginia,Colonial Heights city,235,0.97
Florida,Dixie,233,0.97
Virginia,Fluvanna,229,0.97
Arkansas,Lawrence,216,0.97
Kentucky,Simpson,213,0.97
Nebraska,Loup Basin,213,0.97
IOWA,Poweshiek ,211,0.97
Tennessee,Humphreys,208,0.97
Virginia,Falls Church city,199,0.97
IOWA,Butler ,196,0.97
Tennessee,Morgan,193,0.97
Kentucky,Lewis,191,0.97
Virginia,Bristol city,185,0.97
Arkansas,Randolph,184,0.97
Kentucky,Pendleton,182,0.97
South Dakota,CharlesMix,176,0.97
South Dakota,Roberts,168,0.97
Arkansas,Van Buren,164,0.97
Arkansas,Chicot,163,0.97
Arkansas,Little River,160,0.97
Virginia,Appomattox,160,0.97
South Dakota,Lake,149,0.97
Kentucky,Caldwell,144,0.97
Idaho,Kimberly,138,0.97
Kentucky,Owen,135,0.97
Idaho,American Falls,131,0.97
Tennessee,Meigs,123,0.97
Idaho,Payette,122,0.97
South Dakota,Hamlin,120,0.97
Virginia,Grayson,114,0.97
Arkansas,Newton,99,0.97
Tennessee,Houston,91,0.97
Idaho,Bear Lake,78,0.97
Kentucky,Cumberland,78,0.97
Tennessee,Lake,77,0.97
Oregon,Harney,76,0.97
Tennessee,Hancock,71,0.97
MINNESOTA,NORMAN,67,0.97
Virginia,Mathews,67,0.97
IOWA,Adair ,64,0.97
Virginia,Norton city,64,0.97
South Dakota,Gregory,58,0.97
North Dakota,Cavalier,38,0.97
North Dakota,Emmons,37,0.97
North Dakota,Hettinger,34,0.97
South Dakota,McPherson,34,0.97
South Dakota,Bu_alo,33,0.97
North Dakota,Divide,31,0.97
North Dakota,McIntosh,30,0.97
Connecticut,Fairfield,0,0.97
Connecticut,Hartford,0,0.97
Connecticut,Middlesex,0,0.97
Connecticut,New London,0,0.97
Connecticut,Windham,0,0.97
Indiana,White,0,0.97
Kansas,GRAHAM,0,0.97
Kansas,WOODSON,0,0.97
MISSOURI,Adair,0,0.97
MISSOURI,Audrain,0,0.97
MISSOURI,Bates,0,0.97
MISSOURI,Butler,0,0.97
MISSOURI,Cedar,0,0.97
MISSOURI,Dent,0,0.97
MISSOURI,Gentry,0,0.97
MISSOURI,Howard,0,0.97
MISSOURI,Jasper,0,0.97
MISSOURI,Lafayette,0,0.97
MISSOURI,Lincoln,0,0.97
MISSOURI,Macon,0,0.97
MISSOURI,Miller,0,0.97
MISSOURI,Monroe,0,0.97
MISSOURI,Newton,0,0.97
MISSOURI,Nodaway,0,0.97
MISSOURI,Pike,0,0.97
MISSOURI,Saline,0,0.97
MISSOURI,Scotland,0,0.97
MISSOURI,Scott,0,0.97
MISSOURI,Warren,0,0.97
MISSOURI,Wayne,0,0.97
MONTANA,Blaine,0,0.97
MONTANA,Powell,0,0.97
MONTANA,Yellowstone,0,0.97
North Carolina,Alleghany,0,0.97
North Carolina,Caswell,0,0.97
North Carolina,Franklin,0,0.97
North Carolina,Greene,0,0.97
North Carolina,Hoke,0,0.97
North Carolina,Lenoir,0,0.97
North Carolina,Mecklenburg,0,0.97
North Carolina,Warren,0,0.97
South Carolina,Anderson,0,0.97
South Carolina,Edgefield,0,0.97
South Carolina,Lee,0,0.97
South Carolina,Lexington,0,0.97
Texas,ANDREWS,0,0.97
Texas,ARANSAS,0,0.97
Texas,ATASCOSA,0,0.97
Texas,BRAZOS,0,0.97
Texas,CALLAHAN,0,0.97
Texas,COKE,0,0.97
Texas,COLLIN,0,0.97
Texas,COMAL,0,0.97
Texas,CORYELL,0,0.97
Texas,DAWSON,0,0.97
Texas,ECTOR,0,0.97
Texas,ELLIS,0,0.97
Texas,HALL,0,0.97
Texas,HARRIS,0,0.97
Texas,HAYS,0,0.97
Texas,HOOD,0,0.97
Texas,JACKSON,0,0.97
Texas,JOHNSON,0,0.97
Texas,LAMPASAS,0,0.97
Texas,LIMESTONE,0,0.97
Texas,LLANO,0,0.97
Texas,LYNN,0,0.97
Texas,MATAGORDA,0,0.97
Texas,MCCULLOCH,0,0.97
Texas,MILAM,0,0.97
Texas,MITCHELL,0,0.97
Texas,MONTGOMERY,0,0.97
Texas,ORANGE,0,0.97
Texas,PALO PINTO,0,0.97
Texas,PARKER,0,0.97
Texas,POLK,0,0.97
Texas,POTTER,0,0.97
Texas,RUSK,0,0.97
Texas,SABINE,0,0.97
Texas,SOMERVELL,0,0.97
Texas,UVALDE,0,0.97
Texas,VAN ZANDT,0,0.97
Texas,WALLER,0,0.97
Texas,WOOD,0,0.97
Texas,YOUNG,0,0.97
West Virginia,Pocahontas,0,0.97
West Virginia,Preston,0,0.97
West Virginia,Ritchie,0,0.97
West Virginia,Wetzel,0,0.97
Arizona,Pima,11704,0.967
Arizona,Apache,997,0.963
California,RIVERSIDE,34377,0.96
California,FRESNO,17965,0.96
California,CONTRA COSTA,14651,0.96
California,SAN JOAQUIN,11742,0.96
Massachusetts,Essex,9084,0.96
Nebraska,Douglas County,8943,0.96
Florida,Polk,8172,0.96
Oregon,Washington,7322,0.96
Tennessee,Davidson,7296,0.96
IOWA,Polk ,6810,0.96
Florida,Brevard,5936,0.96
Massachusetts,Plymouth,5739,0.96
Massachusetts,Hampden,5550,0.96
MINNESOTA,DAKOTA,5433,0.96
Virginia,Virginia Beach city,5007,0.96
Virginia,Loudoun,4929,0.96
Tennessee,Knox,4426,0.96
Virginia,Henrico,4074,0.96
Florida,Manatee,3753,0.96
Florida,Marion,3437,0.96
IOWA,Linn ,3034,0.96
Florida,Leon,3017,0.96
Virginia,Norfolk city,2779,0.96
Tennessee,Montgomery,2628,0.96
Florida,Clay,2547,0.96
Florida,Bay,2502,0.96
Kentucky,Kenton,2358,0.96
Pennsylvania,Lebanon,1962,0.96
Virginia,Stafford,1943,0.96
Arkansas,Craighead,1617,0.96
Virginia,Alexandria city,1609,0.96
Rhode Island,Kent,1533,0.96
Tennessee,Sullivan,1488,0.96
Oregon,Linn,1353,0.96
California,YUBA,1264,0.96
Florida,Citrus,1146,0.96
Virginia,Hanover,1146,0.96
New Jersey,Warren,1136,0.96
Florida,Highlands,1116,0.96
Kentucky,Madison,1053,0.96
Utah,Salt Lake,1000,0.96
Utah,Tooele,1000,0.96
New Jersey,Cape May,985,0.96
Florida,Putnam,942,0.96
Virginia,Frederick,939,0.96
Virginia,Rockingham,860,0.96
Tennessee,Robertson,845,0.96
New Jersey,Salem,810,0.96
Ohio,Lawrence,806,0.96
Arkansas,Crawford,801,0.96
Virginia,Montgomery,781,0.96
Virginia,Williamsburg-James city,750,0.96
Oregon,Polk,746,0.96
Virginia,Bedford,728,0.96
Florida,Monroe,709,0.96
Ohio,Pickaway,709,0.96
Virginia,Pittsylvania,669,0.96
Oregon,Coos,641,0.96
Ohio,Washington,626,0.96
Nebraska,Panhandle,617,0.96
Nebraska,Public Health Solutions District,609,0.96
Ohio,Brown,584,0.96
MINNESOTA,KANDIYOHI,568,0.96
MINNESOTA,GOODHUE,556,0.96
MINNESOTA,CARLTON,540,0.96
Nebraska,West Central District,539,0.96
Pennsylvania,Clarion,535,0.96
MINNESOTA,MOWER,533,0.96
Nebraska,Four Corners ,520,0.96
Tennessee,Monroe,514,0.96
Kentucky,Greenup,495,0.96
Ohio,Champaign,495,0.96
Ohio,Williams,494,0.96
Nebraska,North Central District,490,0.96
Idaho,Caldwell,477,0.96
MINNESOTA,WINONA,467,0.96
Pennsylvania,Pike,461,0.96
Virginia,Shenandoah,438,0.96
Virginia,Smyth,438,0.96
Florida,Wakulla,432,0.96
Virginia,Isle of Wight,432,0.96
Ohio,Guernsey,426,0.96
MINNESOTA,LYON,425,0.96
Oregon,Lincoln,425,0.96
Florida,Baker,392,0.96
MINNESOTA,DOUGLAS,391,0.96
Pennsylvania,Warren,383,0.96
Tennessee,Obion,380,0.96
Tennessee,Henderson,369,0.96
Virginia,Winchester city,344,0.96
Pennsylvania,Snyder,343,0.96
Virginia,Amherst,343,0.96
Vermont,Orange,337,0.96
Oregon,Union,331,0.96
Virginia,Botetourt,320,0.96
Arkansas,Polk,315,0.96
Kentucky,Lincoln,312,0.96
Ohio,Wyandot,312,0.96
Virginia,Salem city,310,0.96
Virginia,Russell,309,0.96
MINNESOTA,LE SUEUR,305,0.96
Tennessee,White,289,0.96
Kentucky,Marion,285,0.96
South Dakota,Oglala Lakota,280,0.96
Tennessee,Giles,276,0.96
Arkansas,Logan,274,0.96
Kentucky,Bourbon,266,0.96
Virginia,Orange,257,0.96
Virginia,Page,257,0.96
Tennessee,Hickman,254,0.96
Florida,Gilchrist,242,0.96
Kentucky,Rockcastle,213,0.96
Kentucky,McCreary,210,0.96
IOWA,Winneshiek ,207,0.96
Virginia,Southampton,198,0.96
Tennessee,Haywood,196,0.96
Virginia,Caroline,193,0.96
Oregon,Crook,186,0.96
Tennessee,Grundy,174,0.96
MINNESOTA,FARIBAULT,173,0.96
IOWA,Harrison ,168,0.96
Kentucky,Morgan,158,0.96
Tennessee,Lewis,154,0.96
Tennessee,Cannon,142,0.96
IOWA,Clarke ,135,0.96
Virginia,Floyd,127,0.96
Tennessee,Bledsoe,126,0.96
Arkansas,Montgomery,104,0.96
IOWA,Monroe ,103,0.96
MINNESOTA,ROCK,102,0.96
MINNESOTA,YELLOW MEDICINE,94,0.96
South Dakota,Grant,90,0.96
Virginia,Cumberland,90,0.96
South Dakota,McCook,73,0.96
North Dakota,Dickey,69,0.96
North Dakota,Bowman,56,0.96
Nevada,mineral,53,0.96
Kentucky,Hickman,52,0.96
MINNESOTA,TRAVERSE,48,0.96
South Dakota,Marshall,46,0.96
North Dakota,Adams,25,0.96
Idaho,Murtaugh,24,0.96
South Dakota,Haakon,24,0.96
Washington,GARFIELD,23,0.96
Connecticut,Tolland,0,0.96
Indiana,Clay,0,0.96
Indiana,Fountain,0,0.96
Indiana,Pike,0,0.96
Kansas,ALLEN,0,0.96
Kansas,ELLIS,0,0.96
Kansas,SMITH,0,0.96
Kansas,WILSON,0,0.96
Maine,York,0,0.96
MISSOURI,Barry,0,0.96
MISSOURI,Caldwell,0,0.96
MISSOURI,Cape Girardeau,0,0.96
MISSOURI,Clay,0,0.96
MISSOURI,Crawford,0,0.96
MISSOURI,Greene,0,0.96
MISSOURI,Jackson,0,0.96
MISSOURI,Johnson,0,0.96
MISSOURI,Laclede,0,0.96
MISSOURI,Lawrence,0,0.96
MISSOURI,Marion,0,0.96
MISSOURI,Pemiscot,0,0.96
MISSOURI,Phelps,0,0.96
MISSOURI,Platte,0,0.96
MISSOURI,Pulaski,0,0.96
MISSOURI,Randolph,0,0.96
MISSOURI,Ray,0,0.96
MISSOURI,Reynolds,0,0.96
MISSOURI,Stone,0,0.96
MISSOURI,Sullivan,0,0.96
MISSOURI,Wright,0,0.96
MONTANA,Broadwater,0,0.96
MONTANA,Cascade,0,0.96
MONTANA,Lewis & Clark,0,0.96
MONTANA,Missoula,0,0.96
MONTANA,Phillips,0,0.96
MONTANA,Richland,0,0.96
MONTANA,Roosevelt,0,0.96
North Carolina,Clay,0,0.96
North Carolina,Martin,0,0.96
North Carolina,Robeson,0,0.96
South Carolina,Calhoun,0,0.96
South Carolina,Darlington,0,0.96
South Carolina,Dorchester,0,0.96
South Carolina,Greenwood,0,0.96
South Carolina,Horry,0,0.96
South Carolina,Marlboro,0,0.96
South Carolina,McCormick,0,0.96
South Carolina,Oconee,0,0.96
South Carolina,Orangeburg,0,0.96
South Carolina,Spartanburg,0,0.96
South Carolina,Williamsburg,0,0.96
Texas,ARMSTRONG,0,0.96
Texas,BANDERA,0,0.96
Texas,BAYLOR,0,0.96
Texas,BURNET,0,0.96
Texas,COOKE,0,0.96
Texas,DENTON,0,0.96
Texas,GALVESTON,0,0.96
Texas,GILLESPIE,0,0.96
Texas,HILL,0,0.96
Texas,LUBBOCK,0,0.96
Texas,MILLS,0,0.96
Texas,PANOLA,0,0.96
Texas,RANDALL,0,0.96
Texas,WILLIAMSON,0,0.96
West Virginia,Mingo,0,0.96
Arizona,Cochise,1577,0.959
California,SAN BERNARDINO,33818,0.95
California,SANTA CLARA,24541,0.95
Florida,Orange,16309,0.95
California,KERN,16098,0.95
New Jersey,Middlesex,10263,0.95
Massachusetts,Worcester,9662,0.95
California,SAN MATEO,9343,0.95
New Jersey,Passaic,7255,0.95
Rhode Island,Providence,7113,0.95
Florida,Lee,6983,0.95
California,SANTA BARBARA,6641,0.95
California,SOLANO,5273,0.95
Florida,Pasco,5223,0.95
Florida,Volusia,5216,0.95
New Jersey,Burlington,5201,0.95
Oregon,Marion,4612,0.95
MINNESOTA,ANOKA,4366,0.95
Kentucky,Fayette,3808,0.95
Florida,Collier,3510,0.95
California,IMPERIAL,3110,0.95
Idaho,West Ada,2622,0.95
California,MADERA,2246,0.95
MINNESOTA,SCOTT,2124,0.95
Tennessee,Sumner,2104,0.95
California,NAPA,1921,0.95
Florida,Santa Rosa,1824,0.95
Massachusetts,Barnstable,1760,0.95
Washington,FRANKLIN,1546,0.95
IOWA,Woodbury ,1534,0.95
MINNESOTA,CARVER,1378,0.95
Kentucky,Warren,1361,0.95
Oregon,Yamhill,1237,0.95
Tennessee,Washington,1198,0.95
Florida,Charlotte,1089,0.95
California,TEHAMA,987,0.95
Tennessee,Hamblen,786,0.95
Florida,Sumter,708,0.95
Virginia,Manassas city,680,0.95
Kentucky,Barren,651,0.95
South Dakota,Lincoln,650,0.95
Idaho,Vallivue,637,0.95
Virginia,Culpeper,615,0.95
Florida,Hendry,602,0.95
Arkansas,Greene,595,0.95
Oregon,Columbia,583,0.95
Kentucky,Whitley,569,0.95
MINNESOTA,ITASCA,561,0.95
Tennessee,Cumberland,560,0.95
Vermont,Rutland,558,0.95
MINNESOTA,CHISAGO,555,0.95
Kentucky,Graves,532,0.95
IOWA,Wapello ,525,0.95
Ohio,Fulton,523,0.95
Arkansas,Boone,516,0.95
MINNESOTA,MORRISON,504,0.95
Arkansas,Independence,494,0.95
Pennsylvania,Susquehanna,473,0.95
Ohio,Fayette,468,0.95
MINNESOTA,POLK,465,0.95
Pennsylvania,Tioga,464,0.95
Oregon,Malheur,460,0.95
Nebraska,Southwest Nebraska,448,0.95
Pennsylvania,Mifflin,422,0.95
Vermont,Bennington,401,0.95
Virginia,Gloucester,379,0.95
Kentucky,Grant,375,0.95
Idaho,Minidoka,363,0.95
Virginia,Harrisonburg city,359,0.95
Tennessee,Carroll,333,0.95
Tennessee,Macon,328,0.95
Kentucky,Taylor,327,0.95
South Dakota,Beadle,326,0.95
Kentucky,Woodford,321,0.95
Oregon,Hood River,310,0.95
Tennessee,Hardeman,302,0.95
Ohio,Hocking,287,0.95
Virginia,Charlottesville city,275,0.95
MINNESOTA,MEEKER,262,0.95
Tennessee,Hardin,256,0.95
Kentucky,Lawrence,249,0.95
North Dakota,Stutsman,242,0.95
Ohio,Carroll,240,0.95
Tennessee,Grainger,240,0.95
MINNESOTA,TODD,227,0.95
Virginia,New Kent,213,0.95
IOWA,Henry ,197,0.95
IOWA,Cass ,189,0.95
Florida,Calhoun,186,0.95
Pennsylvania,Potter,182,0.95
IOWA,Floyd ,170,0.95
Tennessee,Benton,166,0.95
Kentucky,Green,153,0.95
South Dakota,Butte,152,0.95
Ohio,Noble,150,0.95
MINNESOTA,KOOCHICHING,144,0.95
Arkansas,Fulton,131,0.95
California,MODOC,111,0.95
North Dakota,Barnes,110,0.95
MINNESOTA,CHIPPEWA,104,0.95
Kentucky,Nicholas,95,0.95
Oregon,Lake,82,0.95
Tennessee,Perry,82,0.95
Kentucky,Lyon,74,0.95
North Dakota,Pierce,74,0.95
Oregon,Wallowa,73,0.95
South Dakota,Fall River,59,0.95
MINNESOTA,LAC QUI PARLE,55,0.95
Arkansas,Calhoun,42,0.95
Virginia,Bath,40,0.95
South Dakota,Ziebach,22,0.95
South Dakota,Stanley,21,0.95
Idaho,Genesee,20,0.95
South Dakota,Campbell,10,0.95
Indiana,Dubois,0,0.95
Indiana,Henry,0,0.95
Kansas,BUTLER,0,0.95
Kansas,FRANKLIN,0,0.95
Kansas,LEAVENWORTH,0,0.95
Kansas,MEADE,0,0.95
Kansas,RUSSELL,0,0.95
Louisiana,ACADIA,0,0.95
Louisiana,ALLEN,0,0.95
Louisiana,ASCENSION,0,0.95
Louisiana,ASSUMPTION,0,0.95
Louisiana,AVOYELLES,0,0.95
Louisiana,BEAUREGARD,0,0.95
Louisiana,BIENVILLE,0,0.95
Louisiana,BOSSIER,0,0.95
Louisiana,CADDO,0,0.95
Louisiana,CALCASIEU,0,0.95
Louisiana,CALDWELL,0,0.95
Louisiana,CAMERON,0,0.95
Louisiana,CATAHOULA,0,0.95
Louisiana,CLAIBORNE,0,0.95
Louisiana,CONCORDIA,0,0.95
Louisiana,DE SOTO,0,0.95
Louisiana,EAST BATON ROUG,0,0.95
Louisiana,EAST CARROLL,0,0.95
Louisiana,EAST FELICIANA,0,0.95
Louisiana,EVANGELINE,0,0.95
Louisiana,FRANKLIN,0,0.95
Louisiana,GRANT,0,0.95
Louisiana,IBERIA,0,0.95
Louisiana,IBERVILLE,0,0.95
Louisiana,JACKSON,0,0.95
Louisiana,JEFFERSON,0,0.95
Louisiana,JEFFERSON DAVIS,0,0.95
Louisiana,LA SALLE,0,0.95
Louisiana,LAFAYETTE,0,0.95
Louisiana,LAFOURCHE,0,0.95
Louisiana,LINCOLN,0,0.95
Louisiana,LIVINGSTON,0,0.95
Louisiana,MADISON,0,0.95
Louisiana,MOREHOUSE,0,0.95
Louisiana,NATCHITOCHES,0,0.95
Louisiana,ORLEANS,0,0.95
Louisiana,OUACHITA,0,0.95
Louisiana,PLAQUEMINES,0,0.95
Louisiana,POINTE COUPEE,0,0.95
Louisiana,RAPIDES,0,0.95
Louisiana,RED RIVER,0,0.95
Louisiana,RICHLAND,0,0.95
Louisiana,SABINE,0,0.95
Louisiana,ST. BERNARD,0,0.95
Louisiana,ST. CHARLES,0,0.95
Louisiana,ST. HELENA,0,0.95
Louisiana,ST. JAMES,0,0.95
Louisiana,ST. JOHN THE BAPTI,0,0.95
Louisiana,ST. LANDRY,0,0.95
Louisiana,ST. MARTIN,0,0.95
Louisiana,ST. MARY,0,0.95
Louisiana,ST. TAMMANY,0,0.95
Louisiana,TANGIPAHOA,0,0.95
Louisiana,TENSAS,0,0.95
Louisiana,TERREBONNE,0,0.95
Louisiana,UNION,0,0.95
Louisiana,VERMILION,0,0.95
Louisiana,VERNON,0,0.95
Louisiana,WASHINGTON,0,0.95
Louisiana,WEBSTER,0,0.95
Louisiana,WEST BATON ROU,0,0.95
Louisiana,WEST CARROLL,0,0.95
Louisiana,WEST FELICIANA,0,0.95
Louisiana,WINN,0,0.95
Maine,Penobscot,0,0.95
MISSOURI,Callaway,0,0.95
MISSOURI,Cass,0,0.95
MISSOURI,Clinton,0,0.95
MISSOURI,Dallas,0,0.95
MISSOURI,Douglas,0,0.95
MISSOURI,Grundy,0,0.95
MISSOURI,Ripley,0,0.95
MISSOURI,St Charles,0,0.95
MISSOURI,St Clair,0,0.95
MISSOURI,Taney,0,0.95
MISSOURI,Washington,0,0.95
MONTANA,Big Horn,0,0.95
MONTANA,Park,0,0.95
MONTANA,Prairie,0,0.95
MONTANA,Teton,0,0.95
North Carolina,Mitchell,0,0.95
South Carolina,Chesterfield,0,0.95
South Carolina,Colleton,0,0.95
South Carolina,Dillon,0,0.95
South Carolina,Laurens,0,0.95
South Carolina,Saluda,0,0.95
Texas,BLANCO,0,0.95
Texas,GREGG,0,0.95
Texas,HEMPHILL,0,0.95
Texas,KENDALL,0,0.95
Texas,KINNEY,0,0.95
Texas,SHERMAN,0,0.95
Texas,STERLING,0,0.95
Texas,TRAVIS,0,0.95
West Virginia,Kanawha,0,0.95
West Virginia,Tucker,0,0.95
West Virginia,Webster,0,0.95
Arizona,Gila,694,0.947
Arizona,Greenlee,175,0.943
Arizona,Coconino,1414,0.941
California,SAN DIEGO,43827,0.94
Florida,Broward,21112,0.94
Pennsylvania,Philadelphia,17237,0.94
California,STANISLAUS,8921,0.94
New Jersey,Union,7506,0.94
Pennsylvania,Delaware,6741,0.94
Virginia,Prince William,6296,0.94
Utah,Daggett,5863,0.94
New Jersey,Mercer,4805,0.94
Ohio,Butler,4632,0.94
Florida,Escambia,4202,0.94
New Jersey,Somerset,4076,0.94
Tennessee,Rutherford,3816,0.94
Oregon,Lane,3417,0.94
MINNESOTA,WASHINGTON,3197,0.94
Florida,St Lucie,3005,0.94
Tennessee,Williamson,2698,0.94
California,YOLO,2504,0.94
Utah,North Summit,2440,0.94
Virginia,Arlington,2346,0.94
Utah,Weber,2271,0.94
MINNESOTA,WRIGHT,2100,0.94
MINNESOTA,ST. LOUIS,2045,0.94
Vermont,Chittenden,1535,0.94
Florida,Indian River,1420,0.94
North Dakota,Burleigh,1164,0.94
Tennessee,Bradley,1116,0.94
Pennsylvania,Northumberland,1037,0.94
Washington,CHELAN,1014,0.94
Florida,Columbia,987,0.94
Idaho,Pocatello,941,0.94
Ohio,Marion,845,0.94
North Dakota,Grand Forks,836,0.94
Virginia,Fauquier,816,0.94
MINNESOTA,CROW WING,771,0.94
Pennsylvania,Bradford,746,0.94
Virginia,Lynchburg city,741,0.94
Idaho,Idaho Falls,740,0.94
Ohio,Union,631,0.94
IOWA,Des Moines ,542,0.94
Virginia,Wise,481,0.94
MINNESOTA,MCLEOD,450,0.94
MINNESOTA,ISANTI,447,0.94
Tennessee,Roane,446,0.94
Virginia,Tazewell,440,0.94
Utah,South Sanpete,424,0.94
Utah,Wasatch,424,0.94
Oregon,Clatsop,417,0.94
Ohio,Ottawa,403,0.94
Washington,ADAMS,390,0.94
Ohio,Coshocton,348,0.94
Virginia,King George,314,0.94
Idaho,Mountain Home,309,0.94
Oregon,Tillamook,300,0.94
Kentucky,Anderson,288,0.94
Pennsylvania,Union,275,0.94
California,AMADOR,268,0.94
Virginia,Greene,243,0.94
Arkansas,Sharp,228,0.94
IOWA,Fayette ,200,0.94
MINNESOTA,REDWOOD,183,0.94
Arkansas,Jackson,182,0.94
Florida,Franklin,134,0.94
Arkansas,Perry,127,0.94
Kentucky,McLean,119,0.94
Arkansas,Nevada,117,0.94
Virginia,Madison,113,0.94
Kentucky,Elliott,99,0.94
Idaho,Weiser,95,0.94
Utah,Logan,87,0.94
South Dakota,Kingsbury,69,0.94
Idaho,Oneida,68,0.94
Oregon,Grant,66,0.94
Utah,Canyons,63,0.94
IOWA,Ringgold ,54,0.94
MINNESOTA,LINCOLN,51,0.94
Idaho,Wilder,50,0.94
South Dakota,Perkins,48,0.94
North Dakota,Logan,36,0.94
MINNESOTA,LAKE OF THE WOODS,33,0.94
North Dakota,Griggs,33,0.94
IOWA,Adams ,32,0.94
Utah,Murray,18,0.94
Idaho,Swan Valley,4,0.94
Indiana,Clark,0,0.94
Indiana,Clinton,0,0.94
Indiana,Greene,0,0.94
Indiana,Pulaski,0,0.94
Indiana,Ripley,0,0.94
Indiana,Scott,0,0.94
Indiana,Washington,0,0.94
Kansas,ATCHISON,0,0.94
Kansas,BARBER,0,0.94
Kansas,MORRIS,0,0.94
Kansas,PRATT,0,0.94
Kansas,REPUBLIC,0,0.94
Maine,Aroostook,0,0.94
Maine,Oxford,0,0.94
Maine,Somerset,0,0.94
Maine,Washington,0,0.94
MISSOURI,Camden,0,0.94
MISSOURI,Carter,0,0.94
MISSOURI,Christian,0,0.94
MISSOURI,Dade,0,0.94
MISSOURI,Franklin,0,0.94
MISSOURI,Livingston,0,0.94
MISSOURI,Morgan,0,0.94
MISSOURI,Oregon,0,0.94
MISSOURI,Pettis,0,0.94
MISSOURI,Polk,0,0.94
MISSOURI,Texas,0,0.94
MISSOURI,Webster,0,0.94
MONTANA,Daniels,0,0.94
MONTANA,Fergus,0,0.94
MONTANA,Gallatin,0,0.94
MONTANA,Garfield,0,0.94
MONTANA,Lake,0,0.94
MONTANA,Liberty,0,0.94
MONTANA,Pondera,0,0.94
South Carolina,Bamberg,0,0.94
South Carolina,Berkeley,0,0.94
Texas,BREWSTER,0,0.94
Texas,COMANCHE,0,0.94
Texas,COTTLE,0,0.94
Texas,DONLEY,0,0.94
Texas,LIBERTY,0,0.94
Texas,MCMULLEN,0,0.94
Texas,OLDHAM,0,0.94
Texas,WILBARGER,0,0.94
Arizona,Maricopa,54292,0.938
Arizona,Navajo,1239,0.936
Arizona,Pinal,4322,0.935
MINNESOTA,HENNEPIN,14915,0.93
Pennsylvania,Allegheny,13286,0.93
New Jersey,Bergen,11376,0.93
Kentucky,Jefferson,9758,0.93
Pennsylvania,York,5544,0.93
Pennsylvania,Berks,5327,0.93
Oregon,Clackamas,4328,0.93
Pennsylvania,Lehigh,4204,0.93
Utah,Duchesne,4135,0.93
Florida,Lake,3647,0.93
Pennsylvania,Luzerne,3439,0.93
Pennsylvania,Northampton,3362,0.93
Ohio,Warren,2737,0.93
Florida,Okaloosa,2716,0.93
Florida,Alachua,2678,0.93
Ohio,Clermont,2470,0.93
Oregon,Jackson,2359,0.93
Ohio,Licking,2106,0.93
Ohio,Medina,1907,0.93
Oregon,Deschutes,1907,0.93
Virginia,Spotsylvania,1645,0.93
New Jersey,Sussex,1523,0.93
Pennsylvania,Cambria,1353,0.93
Massachusetts,Berkshire,1236,0.93
Virginia,Albemarle,1190,0.93
Virginia,Roanoke city,1177,0.93
Ohio,Miami,1164,0.93
MINNESOTA,SHERBURNE,1153,0.93
Pennsylvania,Mercer,1152,0.93
Oregon,Douglas,1122,0.93
Tennessee,Sevier,1099,0.93
Pennsylvania,Clearfield,1009,0.93
Kentucky,Bullitt,990,0.93
Florida,Flagler,958,0.93
Tennessee,Putnam,859,0.93
Oregon,Benton,843,0.93
Ohio,Hancock,816,0.93
Ohio,Sandusky,771,0.93
Pennsylvania,Somerset,722,0.93
Kentucky,Jessamine,628,0.93
Massachusetts,Franklin,600,0.93
